time metre
way style
people mass
day daylight
girl daughter
look aspect
boy son
house mansion
world creation
child youngster
morning sunrise
work study
matter affair
hell underworld
hour minute
mind brain
word discussion
idea estimation
problem trouble
door doorway
business occupation
case event
death demise
part percentage
police law
war warfare
end close
body torso
phone telephone
side slope
gentleman valet
book script
move movement
captain chieftain
person soul
talk lecture
town townsfolk
story tale
reason understanding
drink beverage
help assist
call shout
horse cavalry
picture video
hurry rush
worry headache
city metropolis
blood ancestry
news intelligence
dream ambition
food nutrient
plan design
master lord
letter paper
show appearance
darling favorite
hair whisker
company fellowship
need motivation
system organization
sort form
hospital infirmary
answer reply
murder execution
team squad
officer policeman
movie flick
boss chief
road route
weapon artillery
goodbye bye
planet satellite
control controller
fault flaw
state commonwealth
ball lump
class year
record disk
peace repose
report reputation
pleasure joy
mouth lip
check assay
sea ocean
joke prank
test examination
bar saloon
space place
flower blossom
night dark
love passion
someone mortal
job task
kind variety
car machine
dad papa
back rear
murder slaying
choice selection
sleep slumber
