aatom osake
vaesus viletsus
leidmine leid
kanal toru
vaataja abiline
vili tera
ost ostmine
perekond pesakond
ala kutse
munk vend
edu progress
osa roll
eksperiment katsetus
surve press
kate kiht
keskus linn
usaldus usk
otsing otsimine
auk ava
juhtkond juhatus
suits toss
linn keskus
protokoll register
sohva diivan
norm standard
kannatus piin
uriin piss
looja ehitaja
kogu tervik
institutsioon asutus
puhtus selgus
kloun narr
haridus koolitus
alluv alam
fanaatik hull
jaburus meeletus
rist raskus
anne talent
huvi kasu
eit mutt
kaart plaan
lahkunu surnu
kahju kaotus
toiming tegevus
uhkus hiilgus
ekspert spetsialist
projekt asi
vahe erinevus
provints maakond
konflikt riid
paradiis taevas
ootus lootus
pori muda
skulptuur kuju
korraldaja andja
efekt tulemus
rida rivi
grupp pataljon
proov uurimine
natuke nats
teekond reis
vahetus uuendus
olemus olek
arve konto
tsivilisatsioon kultuur
suu karp
valem vormel
hull fanaatik
tipp ots
tola kloun
omand oma
leid leidmine
tegija looja
intress protsent
televiisor teler
kolonn sammas
patt pahe
teadmine oskus
tiim meeskond
leedi daam
saamine muutumine
idioot kretiin
vormel valem
lojaalsus ustavus
ilme pale
sina sinine
hoolitsus hooldus
talent anne
himu janu
akt toiming
jama raskus
lahendus tulemus
viga eksitus
skoor seis
perse tagumik
erinevus vahe
langemine langus
joodik alkohoolik
rivi rida
armastatu armsam
